SalesOrderID,OrderDate,DueDate,ShipDate,Status,OnlineOrderFlag,SalesOrderNumber,PurchaseOrderNumber,AccountNumber,CustomerID,BillToAddressID,ShipToAddressID,ShipMethodID,CreditCardID,CreditCardApprovalCode,SubTotal,TaxAmt,Freight,TotalDue
1001,00:00.0,00:00.0,00:00.0,5,0,SO1001,PO522145787,10-4020-000676,3674,985,985,5,16281,105041Vi84182,20565.62,1971.51,616.1,23153.23
1002,00:00.0,00:00.0,00:00.0,5,0,SO1002,PO18850127500,10-4020-000117,5156,921,921,5,5618,115213Vi29411,1294.25,124.25,38.83,1457.33
1003,00:00.0,00:00.0,00:00.0,5,0,SO1003,PO18009186470,10-4020-000510,3152,1073,1073,5,4322,45303Vi22691,419.46,40.27,12.58,472.31
1004,00:00.0,00:00.0,00:00.0,5,0,SO1004,PO16617121983,10-4020-000397,3303,876,876,5,806,95555Vi4081,24432.61,2344.99,732.81,27510.41
1005,00:00.0,00:00.0,00:00.0,5,0,SO1005,PO16588191572,10-4020-000146,7488,849,849,5,15232,35568Vi78804,14352.77,1375.94,429.98,16158.7
1006,00:00.0,00:00.0,00:00.0,5,0,SO1006,PO16008173883,10-4020-000511,7110,1074,1074,5,13349,105623Vi69217,5056.49,486.37,151.99,5694.86
1007,00:00.0,00:00.0,00:00.0,5,0,SO1007,PO15428132599,10-4020-000646,2201,629,629,5,10370,55680Vi53503,6107.08,586.12,183.16,6876.36
1008,00:00.0,00:00.0,00:00.0,5,0,SO1008,PO14123169936,10-4020-000578,1537,895,895,5,15538,25877Vi80261,714.7,70.52,22.04,807.26
1009,00:00.0,00:00.0,00:00.0,5,0,SO1009,PO14384116310,10-4020-000504,5945,810,810,5,18017,105888Vi93490,6122.08,587.56,183.61,6893.25
1010,00:00.0,00:00.0,00:00.0,5,0,SO1010,PO13978119376,10-4020-000200,2588,855,855,5,13693,25904Vi70960,8128.79,780.81,244,9153.61
1011,00:00.0,00:00.0,00:00.0,5,0,SO1011,PO13775141242,10-4020-000618,6563,821,821,5,1417,35931Vi7271,3746.2,357.96,111.86,4216.03
1012,00:00.0,00:00.0,00:00.0,5,0,SO1012,PO12412186464,10-4020-000670,5197,631,631,5,11886,126121Vi61402,5716.31,546.88,170.9,6434.08
1013,00:00.0,00:00.0,00:00.0,5,0,SO1013,PO11861165059,10-4020-000017,5214,755,755,5,18153,36168Vi94127,14203.46,1363.27,426.02,15992.74
1014,00:00.0,00:00.0,00:00.0,5,0,SO1014,PO10817150168,10-4020-000203,4600,1021,1021,5,5093,66363Vi26658,9799.92,942.07,294.4,11036.4
1015,00:00.0,00:00.0,00:00.0,5,0,SO1015,PO10730130087,10-4020-000491,1574,1069,1069,5,6653,126370Vi34642,11397.5,1093.64,341.76,12832.9
1016,00:00.0,00:00.0,00:00.0,5,0,SO1016,PO1189177803,10-4020-000423,1412,955,955,5,5301,16608Vi27707,13787.54,1323.07,413.46,15524.07
1017,00:00.0,00:00.0,00:00.0,5,0,SO1017,PO1566124200,10-4020-000486,425,808,808,5,76,96712Vi373,3875.72,371.8,116.19,4363.71
1018,00:00.0,00:00.0,00:00.0,5,0,SO1018,PO2552113807,10-4020-000506,1002,889,889,5,13045,76866Vi67506,42813.43,4107.15,1283.48,48204.07
1019,00:00.0,00:00.0,00:00.0,5,0,SO1019,PO3393188842,10-4020-000549,8163,971,971,5,267,37982Vi1394,5596.47,537.26,167.89,6301.63
1020,00:00.0,00:00.0,00:00.0,5,0,SO1020,PO4176124783,10-4020-000458,7358,958,958,5,2519,108058Vi13146,2736.57,263.2,82.25,3082.02
1021,00:00.0,00:00.0,00:00.0,5,0,SO1021,PO5075125561,10-4020-000344,2748,871,871,5,14612,48152Vi75759,3463.3,332.48,103.9,3899.68
1022,00:00.0,00:00.0,00:00.0,5,0,SO1022,PO4959110829,10-4020-000269,979,783,783,5,3235,128163Vi17021,1258.38,120.8,37.75,1416.93
1023,00:00.0,00:00.0,00:00.0,5,0,SO1023,PO5365136389,10-4020-000161,7681,771,771,5,12399,88200Vi64099,12718.08,1222.88,382.15,14323.12
1024,00:00.0,00:00.0,00:00.0,5,0,SO1024,PO5626159507,10-4020-000166,7648,578,578,5,13054,98228Vi67566,33997.37,3271.49,1022.34,38291.21
1025,00:00.0,00:00.0,00:00.0,5,0,SO1025,PO6235146326,10-4020-000431,861,801,801,5,2337,28321Vi12181,1297.59,124.2,38.81,1460.61
1026,00:00.0,00:00.0,00:00.0,5,0,SO1026,PO6409111675,10-4020-000292,2618,592,592,5,242,28360Vi1235,874.79,83.98,26.24,985.02
1027,00:00.0,00:00.0,00:00.0,5,0,SO1027,PO7859187017,10-4020-000221,4870,1024,1024,5,7176,108529Vi37251,38510.9,3696.4,1155.12,43362.42
1028,00:00.0,00:00.0,00:00.0,5,0,SO1028,PO8120182325,10-4020-000485,5907,807,807,5,8937,128548Vi46064,20541.41,1969.56,615.49,23126.45
1029,00:00.0,00:00.0,00:00.0,5,0,SO1029,PO9657130250,10-4020-000315,4968,943,943,5,7083,118748Vi36747,20645.63,1978.33,618.23,23242.19
1030,00:00.0,00:00.0,00:00.0,5,0,SO1030,PO10179176559,10-4020-000027,3410,911,911,5,10163,128786Vi52413,39373.78,3787.46,1183.58,44344.83
1031,00:00.0,00:00.0,00:00.0,5,0,SO1031,PO9947131800,10-4020-000603,4907,977,977,5,1402,98787Vi7192,419.46,40.27,12.58,472.31
1032,00:00.0,00:00.0,00:00.0,5,1,SO1032,NULL,10-4030-025863,6844,19613,19613,1,5796,333376Vi30244,3399.99,272,85,3756.99
1033,00:00.0,00:00.0,00:00.0,5,1,SO1033,NULL,10-4030-014501,2822,20278,20278,1,12860,733791Vi66509,699.1,55.93,17.48,772.5
1034,00:00.0,00:00.0,00:00.0,5,1,SO1034,NULL,10-4030-027645,6696,22584,22584,1,8087,1230194Vi41919,3578.27,286.26,89.46,3953.99
1035,00:00.0,00:00.0,00:00.0,5,1,SO1035,NULL,10-4030-027621,833,13264,13264,1,10912,230189Vi56258,3578.27,286.26,89.46,3953.99
1036,00:00.0,00:00.0,00:00.0,5,1,SO1036,NULL,10-4030-027616,5047,20923,20923,1,19069,230298Vi99064,3578.27,286.26,89.46,3953.99
1037,00:00.0,00:00.0,00:00.0,5,1,SO1037,NULL,10-4030-027606,397,18404,18404,1,3043,430293Vi16007,3578.27,286.26,89.46,3953.99
1038,00:00.0,00:00.0,00:00.0,5,1,SO1038,NULL,10-4030-027601,4087,11855,11855,1,16570,830288Vi85808,3578.27,286.26,89.46,3953.99
1039,00:00.0,00:00.0,00:00.0,5,1,SO1039,NULL,10-4030-027668,6471,25346,25346,1,3049,530203Vi16052,3578.27,286.26,89.46,3953.99
1040,00:00.0,00:00.0,00:00.0,5,1,SO1040,NULL,10-4030-027612,4689,13854,13854,1,5998,1130295Vi31203,3578.27,286.26,89.46,3953.99
1041,00:00.0,00:00.0,00:00.0,5,1,SO1041,NULL,10-4030-014520,2429,12708,12708,1,16949,833793Vi87871,699.1,55.93,17.48,772.5
1042,00:00.0,00:00.0,00:00.0,5,1,SO1042,NULL,10-4030-014560,5519,25989,25989,1,8533,533796Vi44130,699.1,55.93,17.48,772.5
