CustomerID,Product1,Product2,Product3,Product4,Product5,Product6,Product7,Product8,Product9,Product10,Product11,Product12
1,Mattress,Bedframe,Pillow,Pillow cases,Blankets,Wall lights,Ceiling lights,Curtain hooks,Bedframe,TV stand,Ottomans,Accent table
2,Media storage,TV stand,Blankets,,,,,,,,,
3,Bedframe,,,,,,,,,,,
4,Pillow cases,Pillow,,,,,,,,,,
5,Accent table,Ottomans,Shower curtain,,,,,,,,,
6,Ottomans,,,,,,,,,,,
7,Sofa,Ottomans,,,,,,,,,,
8,Curtain rods,Curtain hooks,Soap dishes,,,,,,,,,
9,Bedframe,Mattress,Accent table,,,,,,,,,
10,Ottomans,,,,,,,,,,,
11,Blankets,Media storage,,,,,,,,,,
12,Shower curtain,,,,,,,,,,,
13,Pillow cases,Media storage,Blankets,,,,,,,,,
14,Mattress,Shower curtain,,,,,,,,,,
15,Mattress,Bathroom organizer,Chairs,,,,,,,,,
16,Pillow cases,Blankets,,,,,,,,,,
17,Pillow cases,Bathroom organizer,Bedframe,Mattress,Blankets,Chairs,,,,,,
18,TV stand,Ottomans,,,,,,,,,,
19,Bedframe,Mattress,Soap dishes,Bathroom organizer,Blankets,,,,,,,
20,TV stand,Curtain rods,,,,,,,,,,
21,Mattress,Accent table,Pillow,Bathroom organizer,,,,,,,,
22,Media storage,Pillow,Mattress,Soap dishes,,,,,,,,
23,Blankets,,,,,,,,,,,
24,Pillow cases,Mattress,Curtain rods,Pillow,Ottomans,,,,,,,
25,Shower curtain,Mattress,Ottomans,,,,,,,,,
26,Curtain rods,,,,,,,,,,,
27,Ottomans,Blankets,Chairs,Bathroom organizer,,,,,,,,
28,Bedframe,Mattress,Shower curtain,,,,,,,,,
29,Bathroom organizer,Curtain rods,Curtain hooks,Pillow cases,,,,,,,,
30,Blankets,Bathroom organizer,Pillow,,,,,,,,,
31,Pillow cases,Ottomans,Bathroom organizer,,,,,,,,,
32,Bedframe,Mattress,Bathroom organizer,,,,,,,,,
33,Shower curtain,,,,,,,,,,,
34,Pillow cases,Mattress,,,,,,,,,,
35,Shower curtain,Ottomans,,,,,,,,,,
36,Bedframe,,,,,,,,,,,
37,Curtain hooks,Media storage,,,,,,,,,,
38,Pillow cases,Accent table,,,,,,,,,,
39,Mattress,,,,,,,,,,,
40,Bathroom organizer,Bedframe,Mattress,,,,,,,,,
41,Mattress,,,,,,,,,,,
42,Curtain rods,TV stand,Curtain rods,,,,,,,,,
43,Curtain rods,Pillow,Ottomans,Bathroom organizer,Pillow,,,,,,,
44,Chairs,Soap dishes,Media storage,,,,,,,,,
45,Pillow,TV stand,,,,,,,,,,
46,Media storage,Accent table,,,,,,,,,,
47,Mattress,Bathroom organizer,,,,,,,,,,
48,Bathroom organizer,Blankets,,,,,,,,,,
49,Mattress,TV stand,,,,,,,,,,
50,Mattress,Bathroom organizer,,,,,,,,,,
51,Ottomans,,,,,,,,,,,
52,Curtain rods,,,,,,,,,,,
53,Pillow cases,Bathroom organizer,Bedframe,Bedframe,Bathroom organizer,Mattress,Curtain rods,Ottomans,,,,
54,Blankets,Shower curtain,,,,,,,,,,
55,Curtain rods,Chairs,Bathroom organizer,Bedframe,Accent table,,,,,,,
56,Pillow cases,Bedframe,Accent table,,,,,,,,,
57,Mattress,,,,,,,,,,,
58,Soap dishes,,,,,,,,,,,
59,Bedframe,,,,,,,,,,,
60,Curtain rods,Soap dishes,Accent table,,,,,,,,,
